"","state","income_cutoff","F","M","16-24","25-34","35-44","45-64","65 and above","African American","Asian and Pacific Islander","Multi-racial","Native American","Other race","White","Bachelor's or above","High school or below","Some college","quantile"
"1","AK",2083,0.456117391546472,0.543882608453528,0.154405895565332,0.247071708340294,0.225418128492139,0.315480499712276,0.0576237678899593,0.0325639026563457,0.11470457203319,0.108165803493531,0.0854773440255425,0.0329305192032819,0.626157858588109,0.263458075773607,0.463797776168996,0.272744148057396,1
"2","AL",2000,0.474349702244174,0.525650297755826,0.160170743978366,0.23239164929153,0.205709123277201,0.347435212105673,0.0542932713472302,0.248546898356659,0.0168929868948736,0.0396788058806171,0.00463444485833015,0.0212281036993319,0.669018760310188,0.262083178126194,0.46216130577177,0.275755516102035,1
"3","AR",2251,0.46868230425681,0.53131769574319,0.159643518012382,0.239056318809243,0.212805048406885,0.337715462264495,0.0507796525069948,0.134429827225279,0.023850159331738,0.0868803372083136,0.00615259405026542,0.035345529195972,0.713341552988432,0.244086302329442,0.497466281193186,0.258447416477372,1
"4","AZ",2500,0.45743469821376,0.54256530178624,0.162563766018689,0.247790552971314,0.206523528908845,0.329946596454119,0.0531755556470331,0.0500478146186072,0.0437385015341843,0.159219909247221,0.0276608360275235,0.0881704733647242,0.63116246520774,0.304104536689012,0.430369961653309,0.265525501657679,1
"5","CA",2832,0.4492703263389,0.5507296736611,0.132825700677548,0.261866462532097,0.223267140478067,0.334308042107825,0.0477326542044636,0.0484373964586177,0.175172664024939,0.154138378180293,0.0111353042120499,0.184735823046035,0.426380434078065,0.363395190501659,0.407330376810062,0.229274432688279,1
"6","CO",2600,0.455848428612394,0.544151571387606,0.151789871424915,0.264009504046135,0.220590249895273,0.314559876239488,0.049050498394188,0.0378377854550564,0.0372263831545451,0.116917915717224,0.00889881071680753,0.0558635815224358,0.743255523433931,0.421946435343986,0.351115390731441,0.226938173924573,1
"7","CT",2100,0.480455711996824,0.519544288003176,0.144005132786025,0.2147709387894,0.19772144001588,0.37678903115119,0.0667134572575042,0.109238305897032,0.0538751116593645,0.0880173550555107,0.00254441561387837,0.0725395947651254,0.673785217009089,0.422069562011712,0.374380733619748,0.20354970436854,1
"8","DC",2500,0.527481777968441,0.472518222031559,0.110728436082253,0.37475666859578,0.231955028714117,0.236746785597209,0.0458130810106398,0.32339097741318,0.0492328737185895,0.0784488305927776,0.00494149928568827,0.0506048378937315,0.493380981096033,0.703769056744276,0.181637534349693,0.114593408906031,1
"9","DE",1978,0.486247605933187,0.513752394066813,0.140275239133464,0.223934384127166,0.204044162848455,0.364695950099588,0.0670502637913275,0.230344062577696,0.048296626585685,0.0719435860866809,0.00347259220401684,0.0437530224666607,0.60219011007926,0.335300498075184,0.437606725517679,0.227092776407138,1
"10","FL",2499,0.480326374620875,0.519673625379125,0.132336107808987,0.228412043484452,0.21061974241446,0.365097400618324,0.0635347056737763,0.155294723083743,0.0322061037080998,0.168297467643582,0.00324128340919932,0.0617599888775422,0.579200433277833,0.319468477247856,0.430061061982023,0.250470460770121,1
"11","GA",2000,0.47525986826352,0.52474013173648,0.149195382363258,0.237614143356938,0.217633377038401,0.348259584806168,0.0472975124352352,0.305081911408576,0.0510197345855504,0.0661107968775684,0.00449985309402112,0.0442584354448533,0.529029268589431,0.338064439304533,0.420944780178177,0.24099078051729,1
"12","HI",2360,0.4994486485764,0.5005513514236,0.12220175229507,0.222295983265649,0.215479274755679,0.358398474483011,0.0816245152005917,0.0104099604140816,0.524728389808798,0.25631937838747,0.002045012552991,0.0162041626475561,0.190293096189104,0.317451442090279,0.415364771874172,0.267183786035549,1
"13","IA",2000,0.46925733614558,0.53074266385442,0.17870745133703,0.216784829568177,0.204513280343358,0.344524255630969,0.0554701831204656,0.0372162025341301,0.0287737365129499,0.0510645292934679,0.00341117173053788,0.0216553383488162,0.857879021580098,0.287493651589413,0.427703359730181,0.284802988680406,1
"14","ID",1874,0.446340220513296,0.553659779486704,0.19295839896229,0.231693381512709,0.21396429784737,0.316220389758794,0.0451635319188363,0.0085116896754069,0.0166558571913895,0.0817196330955249,0.0113931869421539,0.0580129096019025,0.823706723493622,0.259981778313104,0.467489730998487,0.272528490688409,1
"15","IL",2360,0.472870051903365,0.527129948096635,0.141727480862512,0.235720953543698,0.215400907659921,0.354133311094582,0.0530173468392868,0.113824593074796,0.0662214010781298,0.0900326038900237,0.00568171482030864,0.0815700231442447,0.642669663992498,0.384108613407719,0.386306325310009,0.229585061282273,1
"16","IN",2083,0.466761230924025,0.533238769075975,0.161844078669897,0.223616099375687,0.205976082808029,0.354533126804995,0.0540306123413921,0.0864809046395116,0.0262029991999864,0.055425624265945,0.00260959524606565,0.0322725114942855,0.797008365154206,0.285897632300124,0.468418753227005,0.24568361447287,1
"17","KS",1888,0.460932406049672,0.539067593950328,0.17744010042133,0.218284112433613,0.207704410038756,0.338171457413344,0.0583999196929569,0.0503907932103022,0.0342543312796871,0.0853562546146059,0.00798848682204579,0.0423882338923867,0.779621900180972,0.318471839528515,0.423432957222427,0.258095203249058,1
"18","KY",2000,0.468596921261739,0.531403078738261,0.163746832964731,0.230017891253637,0.205166566412102,0.348089216687684,0.0529794926818461,0.0806227032151446,0.018002671451407,0.0461707693754291,0.00154052839093355,0.0169934707872796,0.836669856779806,0.279281310015882,0.461893175433467,0.258825514550651,1
"19","LA",2000,0.477342129747103,0.522657870252897,0.147938086780005,0.24044455721898,0.224309227776368,0.329800558233951,0.0575075699906961,0.286229214243424,0.0189826609151654,0.0557672333587076,0.00639837604668866,0.0220038907214751,0.610618624714539,0.2602642307367,0.486388902985706,0.253346866277595,1
"20","MA",2360,0.48601367918262,0.51398632081738,0.141843044230328,0.236650414298384,0.201221823842457,0.355979587016188,0.0643051306126427,0.0688600022129212,0.0821139432416937,0.0822689864647613,0.00230518402798131,0.052111518740286,0.712340365312357,0.486526327692003,0.331113706341198,0.182359965966799,1
"21","MD",2251,0.485508938773937,0.514491061226063,0.138389298080008,0.226845155817388,0.216587493099108,0.357012351262265,0.0611657017412304,0.282199482102254,0.0672825969363521,0.0663261065688137,0.00396711344672233,0.0753974426419193,0.504827258303938,0.402346744473598,0.393825158203971,0.203828097322431,1
"22","ME",2200,0.501538535748094,0.498461464251906,0.151421663306877,0.212263667443136,0.19439012282158,0.372765806922305,0.0691587395061009,0.0175198120393688,0.0138860136950785,0.0432417983282116,0.00356345379669622,0.00632096006238556,0.915467962078259,0.340992179696152,0.40439271552062,0.254615104783228,1
"23","MI",2000,0.470743956820139,0.529256043179861,0.158332612501506,0.231176073831576,0.197339520281554,0.361485928920498,0.051665864464866,0.118786805540446,0.0390291960770475,0.0584035635802859,0.00394449789508262,0.0173941584496261,0.762441778457512,0.321259532890362,0.41176646959213,0.266973997517508,1
"24","MN",2360,0.470988932363677,0.529011067636323,0.158577936622055,0.230448875262692,0.217575662260812,0.342174278979095,0.0512232468753457,0.0617603141245437,0.0567220682170114,0.0534643395365557,0.00563924068134056,0.0287479433967481,0.7936660940438,0.377954422906758,0.354906640581794,0.267138936511448,1
"25","MO",2251,0.481083543137579,0.518916456862421,0.155981351181036,0.232414507915051,0.210513489510794,0.344204334741901,0.056886316651218,0.107184557142309,0.0263954372590774,0.0538778165060767,0.00299556035957076,0.0182170614523357,0.791329567280631,0.321985860264981,0.429576295348018,0.248437844387001,1
"26","MS",1770,0.482886762734323,0.517113237265677,0.154269741813989,0.226135180118483,0.211860102452817,0.352518957343326,0.055216018271385,0.347619573868615,0.010973100833085,0.0335064694410863,0.00289788095246069,0.0145597308408878,0.590443244063865,0.215269242833717,0.460174788212456,0.324555968953827,1
