"","state","quantile","occ_category","share_quantile","percentile"
"1","AK",1,"Other Managers",0.000553505535055351,0.025
"2","AK",1,"Business Operations Specialists",0.0300738007380074,0.025
"3","AK",1,"Financial Specialists",0.00387453874538745,0.025
"4","AK",1,"Computer and Mathematical",0.0271217712177122,0.025
"5","AK",1,"Architecture and Engineering",0.0210332103321033,0.025
"6","AK",1,"Life, Physical, and Social Science",0.00682656826568266,0.025
"7","AK",1,"Legal",0.00498154981549816,0.025
"8","AK",1,"Education, Training, and Library",0.0040590405904059,0.025
"9","AK",1,"Arts, Design, Entertainment, Sports, and Media",0.0494464944649447,0.025
"10","AK",1,"Food Preparation and Serving",0.164391143911439,0.025
"11","AK",1,"Building and Grounds Cleaning and Maintenance",0.0961254612546125,0.025
"12","AK",1,"Personal Care and Service",0.0848708487084871,0.025
"13","AK",1,"Sales and Related",0.128413284132841,0.025
"14","AK",1,"Office and Administrative Support",0.173247232472325,0.025
"15","AK",1,"Farming, Fishing, and Forestry",0.0225092250922509,0.025
"16","AK",1,"Construction",0.0293357933579336,0.025
"17","AK",1,"Extraction",0.000738007380073801,0.025
"18","AK",1,"Installation, Maintenance, and Repair",0.00350553505535055,0.025
"19","AK",1,"Production",0.0367158671586716,0.025
"20","AK",1,"Transportation and Material Moving",0.103690036900369,0.025
"21","AK",1,"Not Identified",0.00848708487084871,0.025
"22","AK",2,"Chief Executives",0.000743080066877206,0.05
"23","AK",2,"Business Operations Specialists",0.0685491361694223,0.05
"24","AK",2,"Financial Specialists",0.00334386030094743,0.05
"25","AK",2,"Architecture and Engineering",0.0232212520899127,0.05
"26","AK",2,"Life, Physical, and Social Science",0.000743080066877206,0.05
"27","AK",2,"Legal",0.00204347018391232,0.05
"28","AK",2,"Arts, Design, Entertainment, Sports, and Media",0.0150473713542634,0.05
"29","AK",2,"Healthcare Practitioners and Technicians",0.0269366524242987,0.05
"30","AK",2,"Healthcare Support",0.0161619914545792,0.05
"31","AK",2,"Protective Service",0.00371540033438603,0.05
"32","AK",2,"Food Preparation and Serving",0.151031023592792,0.05
"33","AK",2,"Building and Grounds Cleaning and Maintenance",0.0813672673230541,0.05
"34","AK",2,"Personal Care and Service",0.048671744380457,0.05
"35","AK",2,"Sales and Related",0.174438045699424,0.05
"36","AK",2,"Office and Administrative Support",0.152145643693108,0.05
"37","AK",2,"Farming, Fishing, and Forestry",0.00260078023407022,0.05
"38","AK",2,"Construction",0.0161619914545792,0.05
"39","AK",2,"Installation, Maintenance, and Repair",0.0224781720230355,0.05
"40","AK",2,"Production",0.0174623815716143,0.05
"41","AK",2,"Transportation and Material Moving",0.149544863459038,0.05
"42","AK",2,"Not Identified",0.0235927921233513,0.05
"43","AK",3,"Business Operations Specialists",0.0219575735020469,0.075
"44","AK",3,"Financial Specialists",0.0173055452177149,0.075
"45","AK",3,"Computer and Mathematical",0.00465202828433197,0.075
"46","AK",3,"Life, Physical, and Social Science",0.0184220320059546,0.075
"47","AK",3,"Community and Social Services",0.0111648678823967,0.075
"48","AK",3,"Legal",0.00855973204317082,0.075
"49","AK",3,"Arts, Design, Entertainment, Sports, and Media",0.0496836620766654,0.075
"50","AK",3,"Healthcare Practitioners and Technicians",0.00558243394119836,0.075
"51","AK",3,"Healthcare Support",0.0087458131745441,0.075
"52","AK",3,"Protective Service",0.000186081131373279,0.075
"53","AK",3,"Food Preparation and Serving",0.140305173055452,0.075
"54","AK",3,"Building and Grounds Cleaning and Maintenance",0.0522887979158913,0.075
"55","AK",3,"Personal Care and Service",0.107554893933755,0.075
"56","AK",3,"Sales and Related",0.123371790100484,0.075
"57","AK",3,"Office and Administrative Support",0.18273167100856,0.075
"58","AK",3,"Farming, Fishing, and Forestry",0.0230740602902866,0.075
"59","AK",3,"Construction",0.0675474506885002,0.075
"60","AK",3,"Installation, Maintenance, and Repair",0.0213993301079271,0.075
"61","AK",3,"Production",0.0560104205433569,0.075
"62","AK",3,"Transportation and Material Moving",0.0459620394491999,0.075
"63","AK",3,"Not Identified",0.0334946036471902,0.075
"64","AK",4,"Business Operations Specialists",0.00539735715615113,0.1
"65","AK",4,"Financial Specialists",0.0176809975804951,0.1
"66","AK",4,"Architecture and Engineering",0.00558347292015634,0.1
"67","AK",4,"Community and Social Services",0.00651405174018239,0.1
"68","AK",4,"Legal",0.0171226502884794,0.1
"69","AK",4,"Education, Training, and Library",0.0098641354922762,0.1
"70","AK",4,"Arts, Design, Entertainment, Sports, and Media",0.0569514237855946,0.1
