"","state","occ_category","median_income","quantile","share_quantile"
"1","AK","Chief Executives",120000,1,0.0042184106476583
"2","AK","Other Managers",89000,1,0.0102374190195096
"3","AK","Business Operations Specialists",72888,1,0.0870366245289673
"4","AK","Financial Specialists",64894,1,0.0297794731859442
"5","AK","Computer and Mathematical",87000,1,0.0153329249503443
"6","AK","Architecture and Engineering",106190,1,0.0203866644391231
"7","AK","Life, Physical, and Social Science",74333,1,0.00985223960943736
"8","AK","Community and Social Services",62475,1,0.0167483432644651
"9","AK","Legal",57460,1,0.0178249893263537
"10","AK","Education, Training, and Library",56228,1,0.00378682407974606
"11","AK","Arts, Design, Entertainment, Sports, and Media",30200,1,0.0224796272577082
"12","AK","Healthcare Practitioners and Technicians",78785,1,0.0822288429767407
"13","AK","Healthcare Support",35400,1,0.0296077667019361
"14","AK","Protective Service",36016,1,0.00943921590466113
"15","AK","Food Preparation and Serving",20412,1,0.0664736128900522
"16","AK","Building and Grounds Cleaning and Maintenance",27012,1,0.0324850104880177
"17","AK","Personal Care and Service",24645,1,0.038657162480741
"18","AK","Sales and Related",34000,1,0.0966753912123406
"19","AK","Office and Administrative Support",38000,1,0.136214289692042
"20","AK","Farming, Fishing, and Forestry",20000,1,0.00581945759313917
"21","AK","Construction",70000,1,0.0604546045182009
"22","AK","Extraction",98000,1,0.0105947541348778
"23","AK","Installation, Maintenance, and Repair",68723,1,0.0483144920272503
"24","AK","Production",39568,1,0.0512845501290119
"25","AK","Transportation and Material Moving",41600,1,0.0826186631025969
"26","AK","Not Identified",45000,1,0.0114486458391342
"27","AL","Chief Executives",129115,1,0.00569509416437283
"28","AL","Other Managers",64558,1,0.00907840822783279
"29","AL","Business Operations Specialists",67253,1,0.0798129532250028
"30","AL","Financial Specialists",57269,1,0.033789602008582
"31","AL","Computer and Mathematical",80000,1,0.0271354486655411
"32","AL","Architecture and Engineering",95000,1,0.0199975328111923
"33","AL","Life, Physical, and Social Science",60174,1,0.00457699806011233
"34","AL","Community and Social Services",52000,1,0.0172945097792592
"35","AL","Legal",47195,1,0.015191956964487
"36","AL","Education, Training, and Library",43733,1,0.00709740074402674
"37","AL","Arts, Design, Entertainment, Sports, and Media",24000,1,0.0232804661535559
"38","AL","Healthcare Practitioners and Technicians",53095,1,0.0779849356353979
"39","AL","Healthcare Support",25500,1,0.0264884163066667
"40","AL","Protective Service",24500,1,0.00830680702229661
"41","AL","Food Preparation and Serving",14181,1,0.0599037070721242
"42","AL","Building and Grounds Cleaning and Maintenance",22908,1,0.0294774639234107
"43","AL","Personal Care and Service",17100,1,0.0227731202198217
"44","AL","Sales and Related",28317,1,0.113396956166279
"45","AL","Office and Administrative Support",30000,1,0.124662575648363
"46","AL","Farming, Fishing, and Forestry",28000,1,0.00425529599009254
"47","AL","Construction",39568,1,0.046544000619216
"48","AL","Extraction",52000,1,0.00148152269088059
"49","AL","Installation, Maintenance, and Repair",52000,1,0.0430850986633642
"50","AL","Production",37756,1,0.106850439982004
"51","AL","Transportation and Material Moving",35397,1,0.0813634120737448
"52","AL","Not Identified",40518,1,0.0104758771823736
"53","AR","Chief Executives",150000,1,0.00557661082969927
"54","AR","Other Managers",68723,1,0.00787649462078237
"55","AR","Business Operations Specialists",62475,1,0.0795484453514409
"56","AR","Financial Specialists",59000,1,0.0352058355502108
"57","AR","Computer and Mathematical",75409,1,0.0254900412602391
"58","AR","Architecture and Engineering",78785,1,0.0109517793731197
"59","AR","Life, Physical, and Social Science",59000,1,0.00410172936684361
"60","AR","Community and Social Services",53095,1,0.0145321882503472
"61","AR","Legal",42994,1,0.0142558377772109
"62","AR","Education, Training, and Library",46856,1,0.00625584587539327
"63","AR","Arts, Design, Entertainment, Sports, and Media",26031,1,0.0263676817738259
"64","AR","Healthcare Practitioners and Technicians",57401,1,0.0756248759965826
"65","AR","Healthcare Support",26000,1,0.0284894055529236
"66","AR","Protective Service",30000,1,0.00727824139871806
"67","AR","Food Preparation and Serving",15574,1,0.0633844733549555
"68","AR","Building and Grounds Cleaning and Maintenance",23000,1,0.0323593244496273
"69","AR","Personal Care and Service",21385,1,0.0239523988840705
"70","AR","Sales and Related",32000,1,0.111899671618705
"71","AR","Office and Administrative Support",31238,1,0.127574715855026
"72","AR","Farming, Fishing, and Forestry",29263,1,0.00886953423304139
"73","AR","Construction",39393,1,0.0476810854803639
"74","AR","Extraction",47271,1,0.00198405467892731
"75","AR","Installation, Maintenance, and Repair",45020,1,0.0434538342868943
"76","AR","Production",38000,1,0.100681664500403
"77","AR","Transportation and Material Moving",33800,1,0.085828585773923
"78","AR","Not Identified",40000,1,0.0107756439067251
"79","AZ","Chief Executives",173000,1,0.00709698767902775
"80","AZ","Other Managers",76692,1,0.00954036218781962
"81","AZ","Business Operations Specialists",78094,1,0.0984901980031855
"82","AZ","Financial Specialists",63516,1,0.0444038688676168
"83","AZ","Computer and Mathematical",88506,1,0.0407825448143305
"84","AZ","Architecture and Engineering",100290,1,0.0233959145416605
"85","AZ","Life, Physical, and Social Science",62475,1,0.00567086126477583
"86","AZ","Community and Social Services",61000,1,0.0246700474663002
"87","AZ","Legal",52000,1,0.0126601868886616
"88","AZ","Education, Training, and Library",50000,1,0.008138776389078
"89","AZ","Arts, Design, Entertainment, Sports, and Media",33320,1,0.0208207331785955
"90","AZ","Healthcare Practitioners and Technicians",67000,1,0.0664856730303385
"91","AZ","Healthcare Support",32500,1,0.0226118022944684
"92","AZ","Protective Service",32000,1,0.0101499194117852
"93","AZ","Food Preparation and Serving",19300,1,0.0665042764001609
"94","AZ","Building and Grounds Cleaning and Maintenance",27012,1,0.0319305073099369
"95","AZ","Personal Care and Service",22510,1,0.0325289816752849
"96","AZ","Sales and Related",37756,1,0.112295877493247
"97","AZ","Office and Administrative Support",35397,1,0.142390588436462
"98","AZ","Farming, Fishing, and Forestry",28114,1,0.00572944208889719
"99","AZ","Construction",42476,1,0.0522149092947185
"100","AZ","Extraction",60000,1,0.00133706772893228
"101","AZ","Installation, Maintenance, and Repair",48731,1,0.0335426674224121
"102","AZ","Production",40000,1,0.0449235757735044
"103","AZ","Transportation and Material Moving",35000,1,0.0673924883550821
"104","AZ","Not Identified",42476,1,0.0142917420037175
"105","CA","Chief Executives",2e+05,1,0.00986001838804422
"106","CA","Other Managers",90040,1,0.00874732082429713
"107","CA","Business Operations Specialists",94391,1,0.10311275043209
"108","CA","Financial Specialists",76011,1,0.0425101309867514
"109","CA","Computer and Mathematical",127033,1,0.0479933023775908
"110","CA","Architecture and Engineering",120000,1,0.0248724551225622
"111","CA","Life, Physical, and Social Science",90000,1,0.0115560782842557
"112","CA","Community and Social Services",72000,1,0.018579818705037
"113","CA","Legal",71000,1,0.0158268264835636
"114","CA","Education, Training, and Library",62475,1,0.00876412281823031
"115","CA","Arts, Design, Entertainment, Sports, and Media",35000,1,0.023518373740801
"116","CA","Healthcare Practitioners and Technicians",81000,1,0.057243306994518
"117","CA","Healthcare Support",35000,1,0.0219065410814183
"118","CA","Protective Service",33765,1,0.0109271622699639
"119","CA","Food Preparation and Serving",22000,1,0.0657179575293392
"120","CA","Building and Grounds Cleaning and Maintenance",29155,1,0.0305276296840537
"121","CA","Personal Care and Service",23000,1,0.0318820731777531
"122","CA","Sales and Related",35397,1,0.10235318443049
"123","CA","Office and Administrative Support",36444,1,0.118593615169883
"124","CA","Farming, Fishing, and Forestry",25000,1,0.0177426883262715
"125","CA","Construction",46856,1,0.0482575716701001
"126","CA","Extraction",63000,1,0.000452132966055265
"127","CA","Installation, Maintenance, and Repair",52063,1,0.0273183039980417
"128","CA","Production",39000,1,0.0550297167162096
"129","CA","Transportation and Material Moving",35000,1,0.0730154545754111
"130","CA","Not Identified",63516,1,0.0236914632472678
"131","CO","Chief Executives",185708,1,0.0108669270559173
"132","CO","Other Managers",80000,1,0.0114836152552803
"133","CO","Business Operations Specialists",86424,1,0.120718036500013
"134","CO","Financial Specialists",73158,1,0.0493469492214532
"135","CO","Computer and Mathematical",1e+05,1,0.056359575031352
"136","CO","Architecture and Engineering",98000,1,0.03058641321369
"137","CO","Life, Physical, and Social Science",69764,1,0.00928820526554814
"138","CO","Community and Social Services",70000,1,0.0221849174805116
"139","CO","Legal",59652,1,0.0154964934668493
"140","CO","Education, Training, and Library",55000,1,0.00820063157681446
"141","CO","Arts, Design, Entertainment, Sports, and Media",34000,1,0.0230244944147871
"142","CO","Healthcare Practitioners and Technicians",67681,1,0.0642113372839554
"143","CO","Healthcare Support",31514,1,0.0223756503307431
"144","CO","Protective Service",34000,1,0.00827903907644775
"145","CO","Food Preparation and Serving",20000,1,0.0646786988407583
"146","CO","Building and Grounds Cleaning and Maintenance",28000,1,0.0241984044514316
"147","CO","Personal Care and Service",22510,1,0.0284099443615097
"148","CO","Sales and Related",41650,1,0.107890481461692
"149","CO","Office and Administrative Support",37485,1,0.113908036812762
"150","CO","Farming, Fishing, and Forestry",30000,1,0.0060571995924572
"151","CO","Construction",48000,1,0.0499693638112388
"152","CO","Extraction",67681,1,0.00234737958171801
"153","CO","Installation, Maintenance, and Repair",53000,1,0.0304080141274457
"154","CO","Production",41650,1,0.0394217931442773
"155","CO","Transportation and Material Moving",38000,1,0.0603297255605365
"156","CO","Not Identified",50648,1,0.0199586730808113
"157","CT","Chief Executives",225100,1,0.0120478681923235
"158","CT","Other Managers",81218,1,0.0088178995278404
"159","CT","Business Operations Specialists",96751,1,0.111986898634565
"160","CT","Financial Specialists",80000,1,0.0513250244587179
"161","CT","Computer and Mathematical",1e+05,1,0.0404547194691395
"162","CT","Architecture and Engineering",99000,1,0.0260999333588555
"163","CT","Life, Physical, and Social Science",71000,1,0.0111007132020361
"164","CT","Community and Social Services",77000,1,0.0254959093680434
"165","CT","Legal",72888,1,0.0182206814411502
"166","CT","Education, Training, and Library",62475,1,0.0132786025210203
"167","CT","Arts, Design, Entertainment, Sports, and Media",35400,1,0.031844541806684
"168","CT","Healthcare Practitioners and Technicians",76000,1,0.0738171196846598
"169","CT","Healthcare Support",34674,1,0.0293603868022176
"170","CT","Protective Service",30000,1,0.00889163015582685
"171","CT","Food Preparation and Serving",18000,1,0.0549640563188566
"172","CT","Building and Grounds Cleaning and Maintenance",28025,1,0.029193074992556
"173","CT","Personal Care and Service",22510,1,0.0339827300182909
"174","CT","Sales and Related",39393,1,0.108008280516682
"175","CT","Office and Administrative Support",39500,1,0.111448806839934
"176","CT","Farming, Fishing, and Forestry",25887,1,0.00203822649481759
"177","CT","Construction",50000,1,0.03805847405958
"178","CT","Extraction",44000,1,0.00027081826818098
"179","CT","Installation, Maintenance, and Repair",58000,1,0.0269527982191218
"180","CT","Production",45000,1,0.0570504913012038
"181","CT","Transportation and Material Moving",32279,1,0.0571837735902562
"182","CT","Not Identified",58526,1,0.0181065407574404
"183","DC","Chief Executives",2e+05,1,0.0222954296190472
"184","DC","Other Managers",83300,1,0.0103848379746733
"185","DC","Business Operations Specialists",106190,1,0.175020538991707
"186","DC","Financial Specialists",95668,1,0.10767288165089
"187","DC","Computer and Mathematical",95668,1,0.0711316883253538
"188","DC","Architecture and Engineering",106190,1,0.016669971791769
"189","DC","Life, Physical, and Social Science",92000,1,0.0324900542715032
"190","DC","Community and Social Services",84000,1,0.0182281021971662
"191","DC","Legal",176983,1,0.0731228575706926
"192","DC","Education, Training, and Library",66000,1,0.0249826986818621
"193","DC","Arts, Design, Entertainment, Sports, and Media",45020,1,0.0321824752823858
