"","OCC2010","mean_wage","num_workers","Label"
"1",4820,134221.573186453,34132,"Securities, Commodities, and Financial Services Sales Agents"
"2",300,130905.294057166,9726,"Architectural and Engineering Managers"
"3",1520,126048.143699461,5936,"Petroleum, mining and geological engineers, including mining safety engineers"
"4",10,122067.859638481,32972,"Chief executives and legislators/public administration"
"5",3010,111878.432748929,14944,"Dentists"
"6",1020,111832.743878928,449186,"Software Developers, Applications and Systems Software"
"7",6820,109362.006622517,151,"Earth Drillers, Except Oil and Gas"
"8",4930,108438.124087591,7535,"Sales Engineers"
"9",2100,105552.968368081,115453,"Lawyers, and judges, magistrates, and other judicial workers"
"10",3720,95919.2463054187,203,"First-Line Supervisors of Fire Fighting and Prevention Workers"
"11",3110,94171.589278068,35031,"Physician Assistants"
"12",1200,93591.4757247335,11349,"Actuaries"
"13",3040,92112.4061789234,5276,"Optometrists"
"14",1400,91609.4360927152,9060,"Computer Hardware Engineers"
"15",840,90929.9115880714,96910,"Financial Analysts"
"16",110,90040.0609192933,37246,"Computer and Information Systems Managers"
"17",8630,88258.6378539493,671,"Plant and System Operators, nec"
"18",8600,88070.6870144284,1802,"Power Plant Operators, Distributors, and Dispatchers"
"19",1800,87459.238960567,5503,"Economists and market researchers"
"20",3050,86911.6227798994,65988,"Pharmacists"
"21",1350,86180.5742346819,21331,"Chemical Engineers"
"22",510,85980.1381578947,1064,"Buyers and Purchasing Agents, Farm Products"
"23",1320,85001.0321968011,33699,"Aerospace Engineers"
"24",850,84961.431857228,57042,"Personal Financial Advisors"
"25",710,83727.1071781253,149872,"Management Analysts"
"26",1410,83234.1570008285,50694,"Electrical and Electronics Engineers"
"27",1530,82893.925516857,136353,"Engineers, nec"
"28",120,82377.2537876294,106333,"Financial Managers"
"29",140,81357.4224143179,16427,"Industrial Production Managers"
"30",3250,80869.9903040023,13717,"Veterinarians"
"31",1240,79865.1696412104,92171,"Mathematical science occupations, nec"
"32",6100,79315.5538221529,641,"Fishing and hunting workers"
"33",220,79252.4465552441,57798,"Constructions Managers"
"34",1060,79081.1068027211,19110,"Database Administrators"
"35",4840,78946.3517436692,78742,"Sales Representatives, Services, All Other"
"36",9040,78740.8794088008,2977,"Air Traffic Controllers and Airfield Operations Specialists"
"37",1430,78271.885235332,65142,"Industrial Engineers, including Health and Safety"
"38",1460,77861.8299540823,86459,"Mechanical Engineers"
"39",5165,77768.0709328658,13689,"Financial Clerks, nec"
"40",1440,77757.0984175994,2591,"Marine Engineers and Naval Architects"
"41",8610,77321.2727848101,3160,"Stationary Engineers and Boiler Operators"
"42",1450,76808.4610701239,13961,"Materials Engineers"
"43",430,74651.4668000825,392757,"Managers, nec (including Postmasters)"
"44",20,74537.1386289614,77372,"General and Operations Managers"
"45",150,74155.6734973426,18251,"Purchasing Managers"
"46",1360,73799.8393677552,113184,"Civil Engineers"
"47",30,73400.8526150082,199464,"Managers in Marketing, Advertising, and Public Relations"
