"","OCC2010","median_wage","num_workers","Label"
"1",8630,110000,671,"Plant and System Operators, nec"
"2",300,107000,9726,"Architectural and Engineering Managers"
"3",3040,103830,5276,"Optometrists"
"4",3110,101295,35031,"Physician Assistants"
"5",1520,100290,5936,"Petroleum, mining and geological engineers, including mining safety engineers"
"6",3050,1e+05,65988,"Pharmacists"
"7",3010,99000,14944,"Dentists"
"8",1020,97000,449186,"Software Developers, Applications and Systems Software"
"9",10,94391,32972,"Chief executives and legislators/public administration"
"10",4930,90040,7535,"Sales Engineers"
"11",1200,90000,11349,"Actuaries"
"12",1350,88000,21331,"Chemical Engineers"
"13",1320,85538,33699,"Aerospace Engineers"
"14",1400,84413,9060,"Computer Hardware Engineers"
"15",8600,84413,1802,"Power Plant Operators, Distributors, and Dispatchers"
"16",3250,83300,13717,"Veterinarians"
"17",6830,83300,269,"Explosives Workers, Ordnance Handling Experts, and Blasters"
"18",4820,82592,34132,"Securities, Commodities, and Financial Services Sales Agents"
"19",1410,82259,50694,"Electrical and Electronics Engineers"
"20",3720,81412,203,"First-Line Supervisors of Fire Fighting and Prevention Workers"
"21",2100,81036,115453,"Lawyers, and judges, magistrates, and other judicial workers"
"22",110,80000,37246,"Computer and Information Systems Managers"
"23",1530,80000,136353,"Engineers, nec"
"24",1430,78785,65142,"Industrial Engineers, including Health and Safety"
"25",1450,78785,13961,"Materials Engineers"
"26",710,78094,149872,"Management Analysts"
"27",1460,78094,86459,"Mechanical Engineers"
"28",840,78000,96910,"Financial Analysts"
"29",1440,77660,2591,"Marine Engineers and Naval Architects"
"30",140,75409,16427,"Industrial Production Managers"
"31",220,75000,57798,"Constructions Managers"
"32",1060,75000,19110,"Database Administrators"
"33",8610,74970,3160,"Stationary Engineers and Boiler Operators"
"34",1360,73158,113184,"Civil Engineers"
"35",1800,73158,5503,"Economists and market researchers"
"36",1240,72888,92171,"Mathematical science occupations, nec"
"37",9040,72888,2977,"Air Traffic Controllers and Airfield Operations Specialists"
"38",9240,72888,683,"Railroad Conductors and Yardmasters"
"39",9650,72888,616,"Pumping Station Operators"
"40",3140,72000,2961,"Audiologists"
"41",3160,70907,54374,"Physical Therapists"
"42",510,70793,1064,"Buyers and Purchasing Agents, Farm Products"
"43",850,70793,57042,"Personal Financial Advisors"
"44",1420,70000,7458,"Environmental Engineers"
"45",6800,70000,554,"Derrick, rotary drill, and service unit operators, and roustabouts, oil, gas, and mining"
"46",9200,70000,548,"Locomotive Engineers and Operators"
"47",9800,70000,19271,"Military Officer Special and Tactical Operations Leaders"
"48",120,69000,106333,"Financial Managers"
"49",1010,67681,39182,"Computer Programmers"
"50",1220,67681,24774,"Operations Research Analysts"
"51",150,67530,18251,"Purchasing Managers"
"52",9030,67530,28688,"Aircraft Pilots and Flight Engineers"
"53",9310,67530,2808,"Ship and Boat Captains and Operators"
"54",820,67000,6127,"Budget Analysts"
"55",130,65000,27819,"Human Resources Managers"
"56",430,65000,392757,"Managers, nec (including Postmasters)"
"57",1000,65000,254196,"Computer Scientists and Systems Analysts/Network systems Analysts/Web Developers"
"58",4840,65000,78742,"Sales Representatives, Services, All Other"
"59",8830,65000,4753,"Photographic Process Workers and Processing Machine Operators"
"60",9810,65000,8275,"First-Line Enlisted Military Supervisors"
"61",1100,64894,18545,"Network and Computer Systems Administrators"
"62",810,64558,5240,"Appraisers and Assessors of Real Estate"
"63",3150,64558,33855,"Occupational Therapists"
"64",860,64000,18781,"Insurance Underwriters"
"65",3130,64000,545053,"Registered Nurses"
"66",3200,63516,1987,"Radiation Therapists"
"67",20,63028,77372,"General and Operations Managers"
"68",30,63028,199464,"Managers in Marketing, Advertising, and Public Relations"
"69",800,62475,306177,"Accountants and Auditors"
"70",3060,62475,101150,"Physicians and Surgeons"
"71",7700,62475,19982,"First-Line Supervisors of Production and Operating Workers"
"72",900,62000,3385,"Financial Examiners"
"73",4850,61903,99349,"Sales Representatives, Wholesale and Manufacturing"
"74",7410,61903,2391,"Electrical Power-Line Installers and Repairers"
"75",1300,60393,33769,"Architects, Except Naval"
"76",160,60000,17934,"Transportation, Storage, and Distribution Managers"
"77",560,60000,30856,"Compliance Officers, Except Agriculture"
"78",1700,60000,3172,"Astronomers and Physicists"
"79",3230,60000,45435,"Speech Language Pathologists"
"80",3310,60000,15923,"Dental Hygienists"
"81",3820,60000,91201,"Police Officers and Detectives"
"82",4800,60000,18370,"Advertising Sales Agents"
"83",5165,60000,13689,"Financial Clerks, nec"
"84",7000,60000,3445,"First-Line Supervisors of Mechanics, Installers, and Repairers"
"85",600,59652,12788,"Cost Estimators"
"86",6660,59652,4582,"Construction and Building Inspectors"
"87",2840,59351,8647,"Technical Writers"
"88",530,58994,26152,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
"89",1830,58994,8278,"Urban and Regional Planners"
"90",3320,58994,37104,"Diagnostic Related Technologists and Technicians"
"91",3740,58994,16025,"Firefighters"
"92",6200,58994,9058,"First-Line Supervisors of Construction Trades and Extraction Workers"
"93",8100,58526,595,"Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic"
"94",3710,57269,1823,"First-Line Supervisors of Police and Detectives"
"95",7740,57269,261,"Structural Metal Fabricators and Fitters"
"96",830,57000,8983,"Credit Analysts"
"97",950,57000,12180,"Financial Specialists, nec"
"98",3220,57000,6793,"Respiratory Therapists"
"99",7900,57000,2162,"Computer Control Programmers and Operators"
"100",8040,57000,193,"Metal Furnace Operators, Tenders, Pourers, and Casters"
"101",1720,56634,26049,"Chemists and Materials Scientists"
"102",6840,56634,639,"Mining Machine Operators"
"103",9000,56634,9234,"Supervisors of Transportation and Material Moving Workers"
"104",410,56275,32059,"Property, Real Estate, and Community Association Managers"
"105",620,56275,188738,"Human Resources, Training, and Labor Relations Specialists"
"106",730,56275,179176,"Other Business Operations and Management Specialists"
"107",1650,56275,35566,"Medical Scientists, and Life Scientists, All Other"
"108",5150,56275,3993,"Procurement Clerks"
"109",5920,56275,5415,"Statistical Assistants"
"110",7140,56275,3959,"Aircraft Mechanics and Service Technicians"
"111",940,56228,10950,"Tax Preparers"
